date,title,user,views,recommends,unrecommends
2024-08-31 23:25,9월 이후 한국증시 많이 좋을 이유 (5줄 요약.txt),"
				hrh2****
			",301,6,4
2024-08-31 19:09,◆◆여당이 금투세 음모 폐지시켜 윤석열 탄핵 빨라짐◆◆,"
				cold****
			",200,0,6
2024-08-31 17:43,◆◆중국이 한국 전체 집값 올린 이유◆◆,"
				cold****
			",170,0,2
2024-08-31 17:00,[삭제된 게시물의 답글]통계상 개미는 대부분 고점에 물리고....,"
				koko****
			",111,0,3
2024-08-31 15:51,현대차 주주들은,"
				dbsc****
			",348,2,1
2024-08-31 16:18,현대차 주주들은,"
				koko****
			",138,0,5
2024-08-31 15:27,현기차실적,"
				jenn****
			",151,2,1
2024-08-31 16:35,현기차실적,"
				koko****
			",162,1,5
2024-08-31 13:29,9월말 75만원 나만 보이냐?,"
				sayd****
			",157,2,5
2024-08-31 12:58,난 월욜장에,"
				moby****
			",292,3,2
2024-08-31 12:29,토요타 공장 중단인데....,"
				aria****
			",321,1,2
2024-08-31 11:58,금투세,"
				king****
			",254,7,0
2024-08-31 11:55,악재 기사만 쏟아져 나오는구나,"
				dbsc****
			",163,2,2
2024-08-31 11:26,카타르에서 반 덤핑 관세를 물린다,"
				dols****
			",302,0,7
2024-08-31 10:27,그래서 급락한 이유가 뭐냐,"
				dbsc****
			",431,1,4
2024-08-31 9:23,월요일 상승 바란다,"
				dbsc****
			",163,1,1
2024-08-31 8:44,현대차 목표가 알려드립니다,"
				king****
			",490,7,1
2024-08-31 9:13,현대차 목표가 알려드립니다,"
				to1t****
			",101,1,4
2024-08-31 6:59,현대차 주가는 미래가 없다,"
				koko****
			",374,2,7
2024-08-31 6:23,현기차의 실적,"
				jenn****
			",188,2,2
2024-08-31 5:09,●□■ 결국 뭐다 ???,"
				sn******
			",522,7,0
2024-08-31 2:01,◆◆◆◆삼성의 남은 수법◆◆◆◆,"
				cold****
			",179,1,3
2024-08-31 1:02,한국인 긴장시키는 중국형 조직형 비리와 조직형 범죄애플.,"
				bumj****
			",150,1,1
2024-08-31 0:51,다 팔아서,"
				mo******
			",296,2,1
2024-08-31 0:36,◆◆신격화 삼성과 종교숭배 정권의 이유◆◆,"
				cold****
			",114,1,1
2024-08-31 0:25,정권이 형벌 피하고 살아남는 법 2,"
				cold****
			",104,1,1
2024-08-31 0:20,정권이 형벌 피하고 살아남는 법,"
				cold****
			",37,0,3
2024-08-31 7:57,"삼성부도내고 , 하웨이쓰고 한국 부도내게?","
				ju******
			",15,1,2
2024-08-30 22:14,삼성의 음모 평생 걸린거 계속 나도 고발과 공개장소에 까발림,"
				bumj****
			",72,0,2
2024-08-30 21:07,화재는 방화가 대부분이다,"
				cyh6****
			",123,0,1
2024-08-30 21:09,화재는 방화가 대부분이다,"
				cyh6****
			",57,0,1
2024-08-30 18:19,현기차 실적,"
				jenn****
			",393,3,2
2024-08-30 18:12,주식은 장기투자라면서요~~~~~?,"
				ye******
			",187,1,1
2024-08-30 17:59,자동차와 배터리는 3.4분기 실적을 지켜봐야한다.,"
				mj******
			",214,3,0
2024-08-30 17:54,중국이 외국 전체에 빚을 지고 갚지 않고 있었다,"
				cold****
			",170,1,1
2024-08-30 17:50,밸류업과 배당 늘려 주주친화적인 기업 거듭나자,"
				ardo****
			",190,3,1
2024-08-30 17:45,종가에 샀는데 괜츈?,"
				nabi****
			",623,3,2
2024-08-30 16:59,현대차vs기아,"
				tnsm****
			",685,4,1
2024-08-30 16:49,호구들,"
				puon****
			",334,4,2
2024-08-30 16:41,신한,"
				to1t****
			",480,6,2
2024-08-30 16:30,속에서 열불 천불이 난다,"
				dbsc****
			",384,6,0
2024-08-30 16:28,아 ㅅ ㅅ하고싶다,"
				thwj****
			",234,2,2
2024-08-30 16:14,신한 저질 매매,"
				smkf****
			",389,19,1
2024-08-30 15:58,디지고 싶냐?,"
				hyt0****
			",397,6,2
2024-08-30 15:52,ㅋㅋㅋ,"
				moby****
			",320,6,2
2024-08-30 15:50,이게 야발 ㅋㅋ,"
				ehdd****
			",212,3,0
2024-08-30 15:49,조선 게국장의현실,"
				th******
			",209,5,1
2024-08-30 15:49,보통 자사주 산다 그러면,"
				come****
			",254,2,1
2024-08-30 15:48,월요일 갭상승 ㅋㅋ,"
				inpy****
			",347,5,10
2024-08-30 15:48,시장조성자에게도 거래세를 부과하라,"
				bigl****
			",269,16,2
2024-08-30 15:47,현대차 찬티들 똑똑한척 하더니,"
				koko****
			",233,4,4
2024-08-30 15:46,와 현대차 다음주에,"
				qntk****
			",365,3,5
2024-08-30 15:43,신한은 왜 주가조작하냐?,"
				oh******
			",467,26,1
2024-08-30 15:44,신한은 왜 주가조작하냐?,"
				to1t****
			",82,6,2
2024-08-30 15:43,방화범  잡는것은 하늘의 별따기,"
				cyh6****
			",123,1,0
2024-08-30 15:43,역시,"
				puon****
			",124,2,1
2024-08-30 15:41,장막판 15시20분~30분 매매돌아가는 꼬라지봤냐 완전 사기개짓장이다,"
				buba****
			",279,6,1
2024-08-30 15:38,하이닉 삼성 엔비디아에 멱살잡혀서 휘둘리는꼴 안볼려고 ,"
				chan****
			",170,5,0
2024-08-30 15:36,이런 경우 없는 경우는 처음본다,"
				dbsc****
			",442,8,0
2024-08-30 15:36,이거시 현다이 구루마 현실 ㅋㅋㅋㅋ,"
				th******
			",112,4,1
2024-08-30 15:36,와~ 이거 진짜 골때리네..,"
				dado****
			",149,3,0
2024-08-30 15:36,생각들 해봐,"
				five****
			",134,3,1
